title,brand,model,transmission,fuel_type,price,year_of_manufacture,energy_capacity,kilometers_run,car_age
Toyota Allion octane 2012,Toyota,Allion,Automatic,Octane,"Tk 2,085,000",2012,"1,500 cc","67,000 km",14
Toyota Corolla Fresh 2004,Toyota,Corolla,Automatic,"CNG, Octane","Tk 1,230,000",2004,"1,500 cc","95,000 km",22
Toyota Fielder Ex Push Start New 2020,Toyota,Fielder,Automatic,"Hybrid, Octane","Tk 2,370,000",2020,"1,500 cc","58,000 km",6
Toyota Axio Ex Hybrid Push Start 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,290,000",2020,"1,500 cc","73,000 km",6
Toyota Premio G PAKAGE 2012,Toyota,Premio,Automatic,"Petrol, LPG","Tk 2,330,000",2012,"1,500 cc","85,000 km",14
Toyota Corolla Fielder New Shape 2006,Toyota,Corolla,Automatic,"CNG, Octane","Tk 1,290,000",2006,"1,500 cc","69,114 km",20
Hyundai Sonata Luxury Sunroof 2016,Hyundai,Sonata,Automatic,Octane,"Tk 2,350,000",2016,"2,000 cc","26,000 km",10
Toyota Fielder 2018 G package,Toyota,Fielder,Automatic,Hybrid,"Tk 2,050,000",2018,"1,500 cc","123,500 km",8
Toyota Fielder X LIMITED 2003,Toyota,Fielder,Automatic,"CNG, Octane","Tk 1,050,000",2003,"1,500 cc","98,320 km",23
Toyota Corolla AE110 1996,Toyota,Corolla,Automatic,"CNG, Octane","Tk 580,000",1996,"1,500 cc","112,520 km",30
Toyota Allion Push Start 2010,Toyota,Allion,Automatic,"CNG, Octane","Tk 1,965,000",2010,"1,500 cc","89,000 km",16
Toyota Corolla 110 Reveri Saloom 2000,Toyota,Corolla,Automatic,"CNG, Octane","Tk 695,000",2000,"1,500 cc","100,000 km",26
Toyota Wagon 100  2000,Toyota,Wagon 100,Automatic,"CNG, Octane","Tk 440,000",2000,"1,331 cc","80,000 km",26
Toyota Probox . 2004,Toyota,Probox,Automatic,"CNG, Octane","Tk 655,000",2004,"1,500 cc","120,000 km",22
Honda Civic JDM 2018,Honda,Civic,Automatic,Octane,"Tk 3,200,000",2018,"1,500 cc","47,500 km",8
Toyota Premio G 2004,Toyota,Premio,Automatic,"CNG, Octane","Tk 1,490,000",2004,"1,500 cc","78,114 km",22
Toyota Axio 2010,Toyota,Axio,Automatic,"CNG, Octane","Tk 1,490,000",2015,"1,500 cc","68,114 km",11
Toyota Corolla G PERL NEW SHAPE 2006,Toyota,Corolla,Automatic,"CNG, Octane","Tk 1,350,000",2006,"1,500 cc","96,521 km",20
Toyota Voxy Hybrid Mica-Blue 2016,Toyota,Voxy,Automatic,"Hybrid, Octane","Tk 2,480,000",2016,"1,800 cc","85,252 km",10
Toyota Corolla X 2006,Toyota,Corolla,Manual,CNG,"Tk 1,250,000",2006,"1,500 cc","100,000 km",20
Toyota Premio F G Superior 2008,Toyota,Premio,Automatic,"Octane, LPG","Tk 1,975,000",2008,"1,500 cc","91,000 km",18
Toyota Axio X Octane Driven 2013,Toyota,Axio,Automatic,Octane,"Tk 1,675,000",2013,"1,500 cc","58,114 km",13
Toyota Noah X 2012,Toyota,Noah,Automatic,"CNG, Octane","Tk 2,200,000",2012,"1,998 cc","137,000 km",14
Toyota Prius S Touring 2016,Toyota,Prius,Automatic,"Hybrid, Octane","Tk 2,380,000",2016,"1,800 cc","132,000 km",10
