title,brand,model,transmission,fuel_type,price,year_of_manufacture,energy_capacity,kilometers_run,car_age
Toyota Hiace Super GL Dark Prime2 2020,Toyota,Hiace,Automatic,Petrol,"Tk 4,550,000",2020,"2,000 cc","69,700 km",6
Toyota Hiace GL 2020,Toyota,Hiace,Automatic,Octane,"Tk 3,280,000",2020,"2,020 cc","79,632 km",6
Toyota Hiace DUAL-AC ORG. 2020,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 3,600,000",2020,"2,000 cc","65,000 km",6
Toyota Fielder EX NON HYBRID 2020,Toyota,Fielder,Automatic,Octane,"Tk 2,690,000",2020,"1,500 cc","74,236 km",6
Toyota Fielder Black 2011,Toyota,Fielder,Automatic,LPG,"Tk 1,550,000",2011,"1,500 cc","85,000 km",15
Toyota Fielder hybrid 2018,Toyota,Fielder,Automatic,Octane,"Tk 1,870,000",2018,"1,500 cc","48,000 km",8
Toyota Premio F EX PKG 2021,Toyota,Premio,Automatic,Octane,"Tk 3,990,000",2021,"1,500 cc","41,000 km",5
Toyota Axio EX HYBRID DHAKAREADY 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,250,000",2020,"1,500 cc","76,123 km",6
Toyota Corolla golden 2004,Toyota,Corolla,Automatic,"CNG, Octane","Tk 950,000",2004,"1,500 cc","87,000 km",22
Honda Insight Grey Purple 2022,Honda,Insight,Automatic,Hybrid,"Tk 4,350,000",2022,"1,500 cc","10,000 km",4
Nissan Bluebird . 2004,Nissan,Bluebird,Automatic,Petrol,"Tk 770,000",2004,"1,500 cc","75,000 km",22
Toyota Harrier Non Hybrid Pearl 2020,Toyota,Harrier,Automatic,"Petrol, Octane","Tk 7,800,000",2020,"2,000 cc","100,000 km",6
Toyota Fielder NON Hybrid EX 2020,Toyota,Fielder,Automatic,"Petrol, Octane","Tk 2,450,000",2020,"1,500 cc","63,497 km",6
Honda Vezel non hybrid 2014,Honda,Vezel,Automatic,Octane,"Tk 1,850,000",2014,"1,500 cc","59,000 km",12
Toyota Corolla G 2004,Toyota,Corolla,Automatic,"CNG, Octane","Tk 1,095,000",2004,"1,500 cc","89,000 km",22
Hyundai Ancient Hybrid 2019,Hyundai,Ancient,Automatic,"Hybrid, Octane","Tk 3,050,000",2019,"1,500 cc","68,000 km",7
Toyota Fielder cng 2013,Toyota,Fielder,Automatic,"CNG, Octane","Tk 1,750,000",2013,"1,500 cc","89,000 km",13
Toyota Rush push start 2011,Toyota,Rush,Manual,Octane,"Tk 1,450,000",2011,"1,500 cc","87,452 km",15
Nissan X-Trail Octen drive 2014,Nissan,X-Trail,Automatic,Octane,"Tk 2,650,000",2014,"2,000 cc","65,000 km",12
Toyota Axio G 2019,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,294,000",2019,"1,500 cc","31,001 km",7
Toyota Noah S-Z.PREMIUM 2023,Toyota,Noah,Automatic,Octane,"Tk 6,300,000",2023,"2,000 cc","15,000 km",3
Toyota Axio EX -HYBRID 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,340,000",2020,"1,500 cc","68,796 km",6
Toyota Premio Fex pkz 2016,Toyota,Premio,Automatic,Octane,"Tk 3,150,000",2016,"1,500 cc","42,000 km",10
Toyota Hiace GL DUAL AC TRH 2021,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 3,650,000",2021,"2,000 cc","34,000 km",5
Toyota Axio X SAFTY SENSE SILVER 2014,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 1,480,000",2014,"1,500 cc","52,000 km",12
Toyota Corolla Cross hybrid 2021,Toyota,Corolla Cross,Automatic,"Petrol, Hybrid, Octane","Tk 3,850,000",2021,"1,800 cc","42,361 km",5
Toyota Esquire hybrid 2020,Toyota,Esquire,Automatic,"Petrol, Hybrid, Octane","Tk 3,350,000",2020,"1,800 cc","52,684 km",6
Toyota Esquire Non Hybrid 2020,Toyota,Esquire,Automatic,"Petrol, Octane","Tk 3,850,000",2020,"2,000 cc","54,761 km",6
Toyota Noah si 2013,Toyota,Noah,Automatic,"CNG, Octane","Tk 2,220,000",2013,"2,000 cc","79,000 km",13
Toyota Premio push start 2010,Toyota,Premio,Automatic,"CNG, Octane","Tk 2,140,000",2010,"1,500 cc","59,000 km",16
Toyota Esquire hybrid 2020,Toyota,Esquire,Automatic,"Petrol, Hybrid, Octane","Tk 3,300,000",2020,"1,800 cc","43,261 km",6
Toyota Premio F EX PKG 2017,Toyota,Premio,Automatic,Octane,"Tk 3,190,000",2017,"1,500 cc","65,000 km",9
Toyota Prado TXL Package 2023,Toyota,Prado,Automatic,Octane,"Tk 16,990,000",2023,"2,700 cc","19,600 km",3
Mitsubishi X-Pander gray 2020,Mitsubishi,X-Pander,Automatic,Octane,"Tk 2,850,000",2020,"1,500 cc","56,000 km",6
Toyota Corolla G 2004,Toyota,Corolla,Automatic,"CNG, Octane","Tk 1,050,000",2004,"1,500 cc","96,000 km",22
Toyota Prado tx 2003,Toyota,Prado,Automatic,Octane,"Tk 2,550,000",2003,"2,700 cc","68,000 km",23
Toyota Noah X Special Hybrd 2020,Toyota,Noah,Automatic,"Petrol, Hybrid, Octane","Tk 3,650,000",2020,"1,800 cc","95,300 km",6
Toyota Axio key start 2015,Toyota,Axio,Automatic,"Octane, LPG","Tk 1,690,000",2015,"1,500 cc","59,000 km",11
Toyota Allion push start 2009,Toyota,Allion,Automatic,Octane,"Tk 1,780,000",2009,"1,500 cc","87,000 km",17
Toyota Hiace GL DUAL AC READY 2020,Toyota,Hiace,Automatic,Octane,"Tk 3,250,000",2020,"2,000 cc","40,896 km",6
Toyota Esquire Hybrid XI 2 Door PW 2020,Toyota,Esquire,Automatic,"Petrol, Hybrid, Octane","Tk 3,430,000",2020,"1,800 cc","70,000 km",6
Toyota Vitz Family use 2010,Toyota,Vitz,Automatic,Octane,"Tk 1,150,000",2010,"1,300 cc","56,000 km",16
Toyota Axio car key state 2017,Toyota,Axio,Automatic,"Octane, LPG","Tk 2,050,000",2017,"1,500 cc","68,000 km",9
Toyota Noah G Pearl 486000 km 2020,Toyota,Noah,Automatic,Hybrid,"Tk 3,670,000",2020,"1,800 cc","86,000 km",6
Toyota C-HR GR SPORTS TWO TON 2020,Toyota,C-HR,Automatic,"Petrol, Hybrid, Octane","Tk 3,700,000",2020,"1,800 cc","44,000 km",6
Toyota Prius s turing 2016,Toyota,Prius,Automatic,"Hybrid, Octane","Tk 2,150,000",2016,"1,800 cc","56,000 km",10
Toyota Corolla Hybrid GX 2020,Toyota,Corolla,Automatic,"Petrol, Hybrid, Octane","Tk 2,350,000",2020,"1,800 cc","58,976 km",6
Toyota Esquire hybrid 2020,Toyota,Esquire,Automatic,"Petrol, Hybrid, Octane","Tk 3,450,000",2020,"1,800 cc","53,264 km",6
Toyota Fielder hybrid 2020,Toyota,Fielder,Automatic,"Petrol, CNG, Octane","Tk 2,150,000",2020,"1,500 cc","54,762 km",6
Toyota Fielder Non Hybrid 2020,Toyota,Fielder,Automatic,"Petrol, Octane","Tk 2,500,000",2020,"1,500 cc","54,718 km",6
Toyota Fielder 2020,Toyota,Fielder,Automatic,"Petrol, Octane","Tk 2,450,000",2020,"1,500 cc","54,713 km",6
Toyota Prado TXL Package 2023,Toyota,Prado,Automatic,Octane,"Tk 17,500,000",2023,"2,700 cc","21,000 km",3
Toyota Axio hybrid 2015,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 1,595,000",2015,"1,500 cc","65,000 km",11
Toyota Hiace Super Gl 2014,Toyota,Hiace,Automatic,"CNG, Octane","Tk 2,890,000",2014,"2,000 cc","75,000 km",12
Toyota Noah G PUSH 2 DOOR POWER 2020,Toyota,Noah,Automatic,"Hybrid, Octane","Tk 3,450,000",2020,"1,800 cc","70,142 km",6
Toyota Fielder EX -NON HYBRID 2020,Toyota,Fielder,Automatic,Octane,"Tk 2,680,000",2020,"1,500 cc","84,203 km",6
Toyota Prius S Safety 4 Grade 2020,Toyota,Prius,Automatic,"Petrol, Hybrid, Octane","Tk 3,070,000",2020,"1,800 cc","63,500 km",6
Toyota Corolla X 2003,Toyota,Corolla,Automatic,"CNG, Octane","Tk 980,000",2003,"1,500 cc","78,000 km",23
Toyota Probox 1 door power 2004,Toyota,Probox,Automatic,"CNG, Octane","Tk 680,000",2004,"1,331 cc","89,000 km",22
Toyota Fielder x 2020,Toyota,Fielder,Automatic,"Hybrid, Octane","Tk 2,445,000",2020,"1,500 cc","113,000 km",6
Toyota Axio G PUSH START 2020,Toyota,Axio,Automatic,Octane,"Tk 3,045,000",2020,"1,500 cc","63,000 km",6
Toyota Noah X Pkg Push Hy 1DP 2020,Toyota,Noah,Automatic,"Petrol, Hybrid, Octane","Tk 3,150,000",2020,"1,800 cc","92,002 km",6
Toyota Hiace GL Led Headlight 2020,Toyota,Hiace,Automatic,Octane,"Tk 3,350,000",2020,"2,000 cc","90,000 km",6
Toyota Esquire GI HYBRID DHAKAREADY 2020,Toyota,Esquire,Automatic,"Hybrid, Octane","Tk 3,540,000",2020,"1,800 cc","68,452 km",6
Toyota Prius S-Touring Seclection 2020,Toyota,Prius,Automatic,"Petrol, Hybrid, Octane","Tk 3,390,000",2020,"1,800 cc","48,147 km",6
Toyota TownAce Noah 2009,Toyota,TownAce,Automatic,"CNG, Octane","Tk 680,000",2009,"1,500 cc","500,000 km",17
Toyota Harrier Z Non Hybrid 2020,Toyota,Harrier,Automatic,Octane,"Tk 7,850,000",2020,"2,000 cc","46,000 km",6
Toyota Noah x 2006,Toyota,Noah,Automatic,"CNG, Octane","Tk 1,230,000",2006,"2,000 cc","95,000 km",20
Toyota Corolla A100 1994,Toyota,Corolla,Automatic,"CNG, Octane","Tk 320,000",1994,"1,500 cc","99,000 km",32
Toyota Axio X Edition 2012,Toyota,Axio,Automatic,"CNG, Octane","Tk 1,545,000",2012,"1,500 cc","85,000 km",14
Toyota Axio 1st hand 2016,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 1,550,000",2016,"1,500 cc","60,000 km",10
Toyota Harrier advance premium 2015,Toyota,Harrier,Automatic,Octane,"Tk 4,600,000",2015,"2,000 cc","42,000 km",11
Toyota Fielder Non Hybrid 2020,Toyota,Fielder,Automatic,Octane,"Tk 2,590,000",2020,"1,500 cc","86,400 km",6
Toyota Hiace Super GL 2020,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 4,160,000",2020,"2,000 cc","105,000 km",6
Toyota Hiace DX 2020,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 3,050,000",2020,"2,000 cc","102,000 km",6
Toyota Esquire GI PREMIUM PUSH 2020,Toyota,Esquire,Automatic,Hybrid,"Tk 3,750,000",2020,"1,800 cc","95,432 km",6
Toyota Hiace Super Gl Dark Prime 2022,Toyota,Hiace,Automatic,Octane,"Tk 4,660,000",2022,"2,000 cc","29,000 km",4
Toyota Prado tx 2004,Toyota,Prado,Automatic,Octane,"Tk 2,950,000",2004,"2,700 cc","56,000 km",22
Toyota Noah X 2019,Toyota,Noah,Automatic,Hybrid,"Tk 3,150,000",2019,"1,800 cc","47,315 km",7
Toyota Noah X KEY START 2020,Toyota,Noah,Automatic,Octane,"Tk 3,600,000",2020,"2,000 cc","96,873 km",6
Toyota Esquire GI PREMIUM PUSH 2020,Toyota,Esquire,Automatic,Hybrid,"Tk 3,900,000",2020,"1,800 cc","770,329 km",6
Toyota Allion NON HYBRID A15 2020,Toyota,Allion,Automatic,"Petrol, Hybrid, Octane","Tk 3,600,000",2020,"1,500 cc","64,258 km",6
Toyota Fielder hybrid 2020,Toyota,Fielder,Automatic,"Petrol, Hybrid, Octane","Tk 2,150,000",2020,"1,500 cc","54,726 km",6
Toyota Hiace Dx Single Ac 2020,Toyota,Hiace,Automatic,Octane,"Tk 3,040,000",2020,"2,000 cc","77,000 km",6
Toyota Hiace Dx Single Ac 2020,Toyota,Hiace,Automatic,Octane,"Tk 3,050,000",2020,"2,000 cc","72,000 km",6
Toyota Allion silver 2004,Toyota,Allion,Automatic,"CNG, Octane","Tk 1,320,000",2004,"1,500 cc","87,000 km",22
Toyota Corolla X 2003,Toyota,Corolla,Automatic,"CNG, Octane","Tk 950,000",2003,"1,500 cc","89,000 km",23
Nissan Sunny blue 2004,Nissan,Sunny,Automatic,"CNG, Octane","Tk 670,000",2004,"1,500 cc","87,000 km",22
Suzuki Alto 2008,Suzuki,Alto,Automatic,Octane,"Tk 555,000",2017,660 cc,"48,580 km",9
Toyota RAV4 G-Z NON HYBRID 2020,Toyota,RAV4,Automatic,"Petrol, Octane","Tk 7,100,000",2020,"2,000 cc","48,000 km",6
"Toyota Sienta G-Kero,Full Bodykit 2020",Toyota,Sienta,Automatic,"Hybrid, Octane","Tk 3,020,000",2020,"1,500 cc","30,000 km",6
Toyota Axio Hybrid EX Push 2020,Toyota,Axio,Automatic,"Petrol, Hybrid, Octane","Tk 2,430,000",2020,"1,500 cc","87,000 km",6
Nissan X-Trail Hybrid 2015,Nissan,X-Trail,Automatic,"Hybrid, Octane","Tk 2,045,000",2015,"2,000 cc","67,000 km",11
Mitsubishi Lancer Ex Fresh Unit 2010,Mitsubishi,Lancer,Automatic,Octane,"Tk 1,480,000",2010,"1,500 cc","66,000 km",16
Toyota Sprinter 100 1993,Toyota,Sprinter,Automatic,"CNG, Octane","Tk 420,000",1993,"1,500 cc",0 km,33
Toyota Noah WXB HYBRID 2020,Toyota,Noah,Automatic,Hybrid,"Tk 3,420,000",2020,"1,800 cc","114,000 km",6
Toyota Axio EX 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,300,000",2020,"1,500 cc","47,569 km",6
Toyota Noah Si 2010,Toyota,Noah,Automatic,Octane,"Tk 2,130,000",2010,"2,000 cc","76,300 km",16
Toyota Axio EX PUSH HV READY 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,300,000",2020,"1,500 cc","72,131 km",6
Toyota Noah Hybrid G 2 Door PW 2020,Toyota,Noah,Automatic,"Petrol, Hybrid, Octane","Tk 3,200,000",2020,"1,800 cc","80,000 km",6
Toyota Hiace SUPER GL DUAL AC TRH 2020,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 4,130,000",2020,"2,000 cc","64,000 km",6
Toyota Axio Non Hybrid White 2020,Toyota,Axio,Automatic,"Petrol, Octane","Tk 2,650,000",2020,"1,500 cc","91,000 km",6
Nissan X-Trail SUNROOF NON HYBRID 2020,Nissan,X-Trail,Automatic,"Petrol, Octane","Tk 5,300,000",2020,"2,000 cc","65,000 km",6
Toyota Corolla Hybrid GX Model- 2020,Toyota,Corolla,Automatic,"Petrol, Hybrid, Octane","Tk 2,650,000",2020,"1,800 cc","69,300 km",6
Toyota Corolla Cross Z Leather Body Kit 2023,Toyota,Corolla Cross,Automatic,"Petrol, Hybrid, Octane","Tk 5,150,000",2023,"1,800 cc","57,120 km",3
"Toyota Corolla Cross Z LEATHER, 4.5 POINT 2023",Toyota,Corolla Cross,Automatic,Hybrid,"Tk 5,050,000",2023,"1,800 cc","32,142 km",3
Toyota Fielder EX-NON HYBRID G-3.5 2021,Toyota,Fielder,Automatic,Octane,"Tk 2,750,000",2021,"1,500 cc","231,000 km",5
Toyota Premio FL-PKG PEARL COLOR 2020,Toyota,Premio,Automatic,Octane,"Tk 4,400,000",2020,"1,500 cc","31,000 km",6
Toyota C-HR G PKG 2020,Toyota,C-HR,Automatic,"Hybrid, Octane","Tk 3,700,000",2020,"1,790 cc","38,788 km",6
Toyota Corolla Cross Z 2025,Toyota,Corolla Cross,Automatic,"Hybrid, Octane","Tk 6,700,000",2025,"1,790 cc",5 km,1
Toyota Corolla Cross Z 2022,Toyota,Corolla Cross,Automatic,"Hybrid, Octane","Tk 4,725,000",2022,"1,790 cc","29,700 km",4
Toyota Hiace DX PKG BLUE 2020,Toyota,Hiace,Automatic,Octane,"Tk 3,170,000",2020,"2,000 cc","198,000 km",6
Toyota RAV4 G PKG OCT SUNROOF 2020,Toyota,RAV4,Automatic,Octane,"Tk 6,999,998",2020,"2,000 cc","56,000 km",6
Toyota Harrier Z Leather Bodykit 2020,Toyota,Harrier,Automatic,"Petrol, Octane","Tk 7,800,000",2020,"2,000 cc","71,200 km",6
Toyota Fielder hybrid 2020,Toyota,Fielder,Automatic,"Petrol, Hybrid, Octane","Tk 2,150,000",2020,"1,500 cc","52,647 km",6
Toyota Noah hybrid 2022,Toyota,Noah,Automatic,"Petrol, Hybrid, Octane","Tk 4,400,000",2022,"1,800 cc","21,476 km",4
Toyota Noah hybrid 2022,Toyota,Noah,Automatic,"Petrol, Hybrid, Octane","Tk 4,400,000",2022,"1,800 cc","26,247 km",4
Toyota Noah hybrid 2022,Toyota,Noah,Automatic,"Petrol, Hybrid, Octane","Tk 3,750,000",2022,"1,800 cc","32,614 km",4
Toyota Fielder hybrid 2020,Toyota,Fielder,Automatic,"Petrol, Hybrid, Octane","Tk 2,150,000",2020,"1,500 cc","53,624 km",6
Toyota Corolla Cross Z Red Wine 2024,Toyota,Corolla Cross,Automatic,"Hybrid, Octane","Tk 5,170,000",2024,"1,800 cc","44,000 km",2
Toyota Hiace Super Gl 2015,Toyota,Hiace,Automatic,"CNG, Octane","Tk 3,350,000",2015,"2,000 cc","79,000 km",11
Toyota Raum 2004,Toyota,Raum,Automatic,Octane,"Tk 1,075,000",2009,"1,500 cc","85,000 km",17
Toyota Yaris Cross Z Pearl 2 Tone 2021,Toyota,Yaris Cross,Automatic,"Hybrid, Octane","Tk 3,350,000",2021,"1,500 cc","39,000 km",5
Toyota Corolla WXB sedan 2021,Toyota,Corolla,Automatic,Octane,"Tk 3,100,000",2021,"1,800 cc","39,754 km",5
Hyundai Sonata SUNROOF MOONROOF 2010,Hyundai,Sonata,Automatic,Octane,"Tk 1,545,000",2010,"2,000 cc","69,000 km",16
Toyota C-HR G LED 4.5 Grade 2020,Toyota,C-HR,Automatic,Hybrid,"Tk 3,520,000",2020,"1,800 cc","47,000 km",6
Toyota Crown G 2020,Toyota,Crown,Automatic,"Hybrid, Octane","Tk 8,700,000",2020,"2,490 cc","61,941 km",6
Toyota Axio Hybrid EX 2020,Toyota,Axio,Automatic,"Petrol, Hybrid, Octane","Tk 2,150,000",2020,"1,500 cc","65,426 km",6
Toyota Noah hybrid 2020,Toyota,Noah,Automatic,"Petrol, Hybrid, Octane","Tk 2,900,000",2020,"1,800 cc","56,847 km",6
Toyota Corolla Cross Z Massive Grey 2024,Toyota,Corolla Cross,Automatic,Hybrid,"Tk 5,380,000",2024,"1,800 cc","9,000 km",2
Toyota Hiace DX Black Dual AC 2020,Toyota,Hiace,Automatic,Petrol,"Tk 3,650,000",2020,"2,000 cc","99,000 km",6
Toyota Esquire GI hybrid 2019,Toyota,Esquire,Automatic,"Hybrid, Octane","Tk 3,185,000",2019,"1,800 cc","62,000 km",7
Toyota Fielder x 2003,Toyota,Fielder,Automatic,"CNG, Octane","Tk 999,999",2003,"1,500 cc","80,000 km",23
Toyota Axio Ex Non Hybrid 2020,Toyota,Axio,Automatic,Octane,"Tk 2,850,000",2020,"1,500 cc","73,000 km",6
Toyota Axio X Limited 2008,Toyota,Axio,Automatic,"Octane, LPG","Tk 1,415,000",2008,"1,500 cc","86,000 km",18
Toyota Prius S TOURING SELECTION 2020,Toyota,Prius,Automatic,"Hybrid, Octane","Tk 3,020,000",2020,"1,800 cc","71,523 km",6
Toyota Premio F STANDARD PACKAGE 2020,Toyota,Premio,Automatic,Octane,"Tk 3,720,000",2020,"1,500 cc","41,236 km",6
Toyota Fielder EX PUSH DHAKA REDAY 2020,Toyota,Fielder,Automatic,"Hybrid, Octane","Tk 2,420,000",2020,"1,500 cc","53,260 km",6
Toyota Premio F STANDARD 2020,Toyota,Premio,Automatic,Octane,"Tk 3,690,000",2020,"1,500 cc","67,852 km",6
Toyota Hiace Super GL Key Start 2020,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 4,170,000",2020,"2,000 cc","83,000 km",6
Toyota Hiace Super GLPush-Start 2020,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 4,200,000",2020,"2,000 cc","75,000 km",6
Toyota Voxy Hybrid S-Z 2022,Toyota,Voxy,Automatic,"Petrol, Hybrid, Octane","Tk 4,900,000",2022,"1,800 cc","21,000 km",4
Nissan X-Trail Ge-40RCE 5 Grade 2023,Nissan,X-Trail,Automatic,"Petrol, Hybrid, Octane","Tk 7,500,000",2023,"1,500 cc","71,000 km",3
Nissan X-Trail Hybrid 2017,Nissan,X-Trail,Automatic,"Hybrid, Octane","Tk 2,590,000",2017,"2,000 cc","47,000 km",9
Toyota Corolla Cross Hybrid Z Leather 2023,Toyota,Corolla Cross,Automatic,"Petrol, Hybrid, Octane","Tk 4,670,000",2023,"1,800 cc","31,000 km",3
Toyota Allion G Push Sensor Good 2020,Toyota,Allion,Automatic,"Petrol, Octane","Tk 4,250,000",2020,"1,500 cc","82,000 km",6
Toyota Esquire Gi-Pre Nonhy Sunroof 2020,Toyota,Esquire,Automatic,"Petrol, Octane","Tk 5,200,000",2020,"2,000 cc","54,174 km",6
Toyota Fielder PetrlOctn Point-4 2020,Toyota,Fielder,Automatic,"Petrol, Octane","Tk 2,600,000",2020,"1,500 cc","133,519 km",6
Toyota Fielder Ex Nonhybrid Gp-4.00 2020,Toyota,Fielder,Automatic,"Petrol, Octane","Tk 2,650,000",2020,"1,500 cc","51,319 km",6
Toyota Corolla Cross Z Leather 360 TRD 2021,Toyota,Corolla Cross,Automatic,"Petrol, Hybrid, Octane","Tk 4,550,000",2021,"1,800 cc","66,125 km",5
Toyota Aqua Sky Blue 2020,Toyota,Aqua,Automatic,"Hybrid, Octane","Tk 2,100,000",2020,"1,500 cc","48,521 km",6
"Toyota Supra MK-5,35th EDITION 2021",Toyota,Supra,Automatic,"Petrol, Hybrid, Octane","Tk 14,200,000",2021,"2,000 cc","17,512 km",5
Toyota Hiace 2003,Toyota,Hiace,Manual,Diesel,"Tk 400,000",2003,"2,000 cc","90,000 km",23
Toyota Aqua G edition 2012,Toyota,Aqua,Automatic,"Hybrid, Octane","Tk 1,250,000",2012,"1,500 cc","45,000 km",14
Toyota Axio EX-NON HYBRID G-4.0 2021,Toyota,Axio,Automatic,Octane,"Tk 3,020,000",2021,"1,500 cc","92,000 km",5
Toyota Axio EX-NON HYBRID G-4.0 2021,Toyota,Axio,Automatic,Octane,"Tk 3,130,000",2021,"1,500 cc","18,000 km",5
Honda CR-V EX-B Edition 2022,Honda,CR-V,Automatic,Octane,"Tk 7,000,000",2022,"1,490 cc","47,300 km",4
Mitsubishi Car 2003,Mitsubishi,Other Model,Manual,Diesel,"Tk 1,500,000",2003,"2,477 cc","75,000 km",23
Toyota Premio Fex Redwine 2020,Toyota,Premio,Automatic,Octane,"Tk 4,580,000",2020,"1,500 cc","16,000 km",6
Toyota Fielder NON HYBRID EX PUSH 2020,Toyota,Fielder,Automatic,Octane,"Tk 2,700,000",2020,"1,500 cc","81,236 km",6
Nissan X-Trail Hybrid sunroof 2017,Nissan,X-Trail,Automatic,"Hybrid, Octane","Tk 2,780,000",2017,"2,000 cc","84,000 km",9
Toyota Fielder 2020,Toyota,Fielder,Automatic,"Hybrid, Octane, LPG","Tk 2,480,000",2020,"1,500 cc","50,000 km",6
Toyota Prius S LED Mica Blue 2021,Toyota,Prius,Automatic,"Petrol, Hybrid, Octane","Tk 3,200,000",2021,"1,800 cc","29,000 km",5
Toyota Prius S Touring Selection 2020,Toyota,Prius,Automatic,"Petrol, Hybrid, Octane","Tk 2,999,999",2020,"1,800 cc","94,000 km",6
Toyota RAV4 X  HYBRID  GREY 2020,Toyota,RAV4,Automatic,Hybrid,"Tk 5,550,000",2020,"2,500 cc","99,000 km",6
Toyota Corolla Cross Z 2022,Toyota,Corolla Cross,Automatic,Octane,"Tk 4,900,000",2022,"1,790 cc","36,988 km",4
Toyota Axio Ex Non Hybrid White 2020,Toyota,Axio,Automatic,"Petrol, Octane","Tk 2,800,000",2020,"1,500 cc","83,120 km",6
Nissan Juke 2011,Nissan,Juke,Automatic,Octane,"Tk 1,375,000",2020,"1,500 cc","50,000 km",6
Toyota Allion 2003,Toyota,Allion,Automatic,"Diesel, Petrol, CNG, LPG","Tk 1,290,000",2003,"1,500 cc","55,523 km",23
Toyota Esquire Gi Hybrid Pearl070 2020,Toyota,Esquire,Automatic,Hybrid,"Tk 3,350,000",2020,"1,800 cc","117,000 km",6
Toyota Hiace Super GL DarkPrime 2 2021,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 4,550,000",2021,"2,000 cc","34,755 km",5
Toyota Axio Ex Black Color Ready 2020,Toyota,Axio,Automatic,"Petrol, Octane","Tk 2,800,000",2020,"1,500 cc","49,155 km",6
Toyota Hiace Gl Dual AC 2020,Toyota,Hiace,Manual,Octane,"Tk 3,260,000",2020,"2,000 cc","77,852 km",6
Suzuki Ciaz PLUG IN HYBRID 2019,Suzuki,Ciaz,Automatic,"Hybrid, Octane","Tk 1,520,000",2019,"1,500 cc","78,800 km",7
Nissan X-Trail HARD JEEP 2010,Nissan,X-Trail,Automatic,Octane,"Tk 1,890,000",2010,"2,000 cc","71,425 km",16
Toyota Hiace Ambulance 2020,Toyota,Hiace,Automatic,Octane,"Tk 2,790,000",2020,"2,000 cc","73,655 km",6
Toyota Voxy SZ HYBRID 2025,Toyota,Voxy,Automatic,"Petrol, Hybrid, Octane","Tk 6,500,000",2025,"1,800 cc",9 km,1
Toyota Fielder Ex Nonhybrid Gp-4.00 2020,Toyota,Fielder,Automatic,"Petrol, Octane","Tk 2,800,000",2020,"1,500 cc","95,356 km",6
Toyota Fielder EX Non Hybrid 474km 2020,Toyota,Fielder,Automatic,"Petrol, Octane","Tk 2,750,000",2020,"1,500 cc","74,120 km",6
Toyota Harrier Z Leather pkg 2021,Toyota,Harrier,Automatic,Hybrid,"Tk 7,950,000",2021,"2,500 cc","75,484 km",5
Nissan Sunny 2003,Nissan,Sunny,Automatic,"Petrol, LPG","Tk 450,000",2024,"1,295 cc","216,000 km",2
"Honda Grace G Ltd, 2017",Honda,Grace,Automatic,"Hybrid, Octane","Tk 1,790,000",2017,"1,500 cc","77,000 km",9
Toyota Axio Non Hybrid 2020,Toyota,Axio,Automatic,Octane,"Tk 2,590,000",2020,"1,500 cc","90,000 km",6
Toyota Aqua S KEY START 2020,Toyota,Aqua,Automatic,"Petrol, Hybrid, Octane","Tk 1,900,000",2020,"1,500 cc","72,000 km",6
Toyota Corolla S 2020,Toyota,Corolla,Automatic,"Petrol, Hybrid, Octane","Tk 2,920,000",2020,"1,800 cc","80,000 km",6
Toyota Axio Hybrid EX 2020,Toyota,Axio,Automatic,"Petrol, Hybrid, Octane","Tk 2,150,000",2020,"1,500 cc","58,432 km",6
Honda Fit HYBRID 2020,Honda,Fit,Automatic,"Petrol, Hybrid, Octane","Tk 2,050,000",2020,"1,500 cc","58,948 km",6
Toyota Corolla Cross hybrid 2021,Toyota,Corolla Cross,Automatic,"Petrol, Hybrid, Octane","Tk 3,850,000",2021,"1,800 cc","54,786 km",5
Toyota Premio push start 2015,Toyota,Premio,Automatic,Octane,"Tk 2,630,000",2015,"1,500 cc","58,000 km",11
Toyota Premio silver 2004,Toyota,Premio,Automatic,"CNG, LPG","Tk 1,350,000",2004,"1,500 cc","90,000 km",22
Toyota Axio black 2013,Toyota,Axio,Automatic,Octane,"Tk 1,650,000",2013,"1,500 cc","85,000 km",13
Toyota Allion silver 2004,Toyota,Allion,Automatic,"CNG, Octane","Tk 1,350,000",2004,"1,500 cc","98,000 km",22
Toyota Premio push start 2007,Toyota,Premio,Automatic,"CNG, Octane","Tk 1,700,000",2007,"1,500 cc","80,000 km",19
